Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Profit_per_Hectare,Revenue_per_Hectare,Cost_per_Hectare,Calculated_Production,Production_Error,Calculated_Profit,Profit_Error,Agricultural_Performance_Index
SF10011,Maharashtra,Krishna,Wheat,Rabi,4.7,390.8,24.5,43.5,7.8,5.93,25.2,137.9,31.4,70.0,Sprinkler,224.4,5.9,0.89,1.44,6.77,20806,289759,140857,-148902,2371,2.855,33.5,-31681.27659574468,29969.574468085106,61650.85106382979,6.768,0.0019999999999997797,-148902,0,0.21698928270089876
SF10012,Telangana,Rajkot,Maize,Rabi,14.07,315.3,24.2,53.7,5.9,5.87,29.4,100.6,50.8,65.8,Drip,178.7,5.34,0.71,1.36,19.14,20120,964512,385097,-579415,7467,2.563,35.0,-41180.881307746975,27370.07818052594,68550.95948827291,19.1352,0.004799999999999471,-579415,0,0.19134307829953845
SF10013,Punjab,Indore,Wheat,Rabi,6.04,431.5,24.1,59.8,9.0,8.23,27.0,162.3,60.1,113.0,Rainfed,170.3,4.73,0.91,0.3,1.81,23239,335153,42063,-293090,1411,1.283,49.6,-48524.834437086094,6964.07284768212,55488.90728476821,1.8119999999999998,-0.0019999999999997797,-293090,0,0.1545451057955941
SF10014,Gujarat,Indore,Pulses,Kharif,10.5,779.3,29.9,69.8,5.8,6.79,33.8,102.2,45.9,91.7,Rainfed,224.8,5.27,0.69,1.31,13.76,72375,852631,995880,143249,1556,8.843,50.6,13642.761904761905,94845.71428571429,81202.95238095238,13.755,0.004999999999999005,143249,0,0.1981202678685468
SF10015,Punjab,Indore,Rice,Kharif,4.38,762.0,25.0,80.2,6.7,6.54,36.9,143.8,50.4,92.6,Rainfed,149.8,6.44,0.95,3.32,14.54,21720,286933,315809,28876,3404,4.271,43.6,6592.6940639269405,72102.51141552512,65509.817351598176,14.541599999999999,-0.0015999999999998238,28876,0,0.20426926893635167
SF10016,Andhra Pradesh,Warangal,Maize,Rabi,2.26,494.7,23.7,45.6,8.8,6.98,22.5,119.3,15.0,74.7,Flood,189.2,6.34,0.72,3.21,7.25,18985,182127,137641,-44486,1455,4.983,29.7,-19684.07079646018,60903.09734513275,80587.16814159293,7.254599999999999,-0.004599999999999049,-44486,0,0.24423130716373787
SF10017,Telangana,Indore,Cotton,Zaid,3.93,80.0,28.4,46.6,5.0,7.08,17.9,121.4,49.3,106.2,Flood,91.1,7.6,0.96,1.0,3.93,64034,218756,251654,32898,4210,0.933,32.3,8370.992366412213,64034.096692111954,55663.104325699744,3.93,0.0,32898,0,0.22191799696115658
SF10018,Maharashtra,Ludhiana,Maize,Rabi,11.04,450.4,21.6,55.3,6.9,5.87,30.7,118.8,93.4,114.4,Rainfed,104.6,5.64,0.79,1.54,17.0,20107,727865,341819,-386046,3453,4.923,43.0,-34967.934782608696,30961.865942028988,65929.80072463768,17.0016,-0.0015999999999998238,-386046,0,0.18436738550355494
SF10019,Punjab,Nalgonda,Groundnut,Kharif,2.46,851.7,29.0,71.8,6.0,5.89,23.5,155.3,40.4,81.9,Drip,128.2,6.95,0.73,1.13,2.78,66966,143907,186165,42258,1220,2.279,53.1,17178.048780487807,75676.82926829268,58498.78048780488,2.7798,0.00019999999999997797,42258,0,0.16492091481541088
SF10020,Madhya Pradesh,Krishna,Pulses,Rabi,14.48,415.8,22.3,48.3,9.1,6.67,28.6,68.3,40.3,88.1,Drip,274.2,8.54,0.87,1.1,15.93,69127,1125931,1101193,-24738,4803,3.317,27.3,-1708.4254143646408,76049.24033149172,77757.66574585636,15.928000000000003,0.001999999999997115,-24738,0,0.24185927692136971
SF10021,Punjab,Ludhiana,Rice,Rabi,0.95,409.8,23.2,58.7,7.0,7.49,24.8,85.6,88.7,83.9,Flood,206.0,2.22,0.94,1.6,1.52,20424,58222,31044,-27178,1814,0.838,45.8,-28608.42105263158,32677.894736842107,61286.31578947369,1.52,0.0,-27178,0,0.18007687964848904
SF10022,Punjab,Krishna,Rice,Rabi,5.62,918.7,22.2,66.8,7.5,7.35,22.8,129.7,65.0,93.4,Sprinkler,179.8,7.59,0.79,2.4,13.49,19160,427915,258468,-169447,8350,1.616,47.7,-30150.71174377224,45990.747330960854,76141.4590747331,13.488,0.002000000000000668,-169447,0,0.17220437184768456
SF10023,Andhra Pradesh,Raichur,Wheat,Rabi,12.59,212.6,23.2,72.2,8.6,7.35,28.0,99.3,63.0,65.7,Drip,162.4,8.68,0.9,1.25,15.74,24218,820257,381191,-439066,6064,2.596,32.0,-34874.18586179508,30277.283558379666,65151.46942017474,15.7375,0.0024999999999995026,-439066,0,0.20665441192241096
SF10024,Andhra Pradesh,Nalgonda,Groundnut,Kharif,2.49,1021.3,26.1,70.1,6.7,7.31,15.6,127.8,60.1,68.1,Flood,129.7,7.95,0.9,1.08,2.69,64375,186339,173169,-13170,1713,1.57,41.6,-5289.156626506024,69545.78313253011,74834.93975903613,2.6892000000000005,0.0007999999999994678,-13170,0,0.19425634309803586
SF10025,Telangana,Nashik,Wheat,Zaid,14.47,430.7,32.3,61.2,8.7,6.58,17.1,101.2,37.7,115.8,Rainfed,233.6,3.37,0.66,2.3,33.28,27284,1203928,908012,-295916,3869,8.602,64.0,-20450.310988251553,62751.347615756735,83201.65860400829,33.281,-0.0009999999999976694,-295916,0,0.13941688232199465
SF10026,Gujarat,Indore,Pulses,Kharif,13.3,853.0,35.8,85.1,5.2,5.52,25.6,112.5,71.6,98.7,Sprinkler,265.5,4.23,0.67,0.3,3.99,82458,998865,329007,-669858,5584,0.715,75.8,-50365.26315789473,24737.36842105263,75102.63157894736,3.99,0.0,-669858,0,0.057135589980326716
SF10027,Madhya Pradesh,Krishna,Rice,Rabi,13.8,578.3,22.3,61.6,7.7,6.21,18.6,89.4,75.3,81.5,Drip,216.4,2.45,0.98,2.9,40.02,25815,744909,1033116,288207,17866,2.24,56.2,20884.565217391304,74863.47826086957,53978.91304347826,40.02,0.0,288207,0,0.1713980351362614
SF10028,Punjab,Rajkot,Rice,Rabi,10.47,93.9,27.3,45.4,7.7,6.89,27.0,115.6,64.9,123.2,Rainfed,210.2,2.42,0.74,2.45,25.65,21364,545453,547987,2534,9077,2.826,45.7,242.0248328557784,52338.77745940783,52096.75262655205,25.651500000000002,-0.0015000000000036096,2534,0,0.1900991469528875
SF10029,Tamil Nadu,Rajkot,Maize,Rabi,12.94,443.1,23.0,45.7,6.3,6.32,26.4,139.3,51.3,92.5,Sprinkler,286.7,8.22,0.97,3.01,38.95,20272,1176978,789594,-387384,8230,4.733,32.1,-29936.939721792893,61019.62905718702,90956.56877897991,38.9494,0.0006000000000057071,-387384,0,0.21982150508243536
SF10030,Tamil Nadu,Rajkot,Groundnut,Zaid,13.15,565.4,32.7,50.7,7.3,6.65,15.6,158.0,46.8,151.0,Sprinkler,147.4,5.5,0.89,1.94,25.51,49492,695563,1262541,566978,7423,3.437,30.6,43116.19771863118,96010.72243346008,52894.5247148289,25.511,-0.0009999999999976694,566978,0,0.262053851719774
SF10031,Telangana,Nalgonda,Chilli,Rabi,11.96,284.2,24.1,62.1,7.0,6.93,31.7,188.8,47.8,101.6,Rainfed,250.8,4.06,0.66,1.51,18.06,102219,738746,1846075,1107329,4721,3.825,40.2,92586.03678929765,154354.09698996655,61768.06020066889,18.0596,0.00039999999999906777,1107329,0,0.2587842056230402
SF10032,Madhya Pradesh,Krishna,Groundnut,Zaid,0.69,372.1,31.7,30.8,7.4,7.92,12.2,127.3,66.2,131.1,Drip,139.4,4.39,0.96,0.3,0.21,54155,43431,11373,-32058,259,0.811,37.4,-46460.86956521739,16482.608695652176,62943.47826086957,0.207,0.0030000000000000027,-32058,0,0.20158116470704976
SF10033,Madhya Pradesh,Indore,Cotton,Kharif,11.35,1066.8,30.3,76.6,6.4,7.56,35.9,104.2,49.9,106.8,Sprinkler,230.7,4.16,0.7,0.64,7.26,72112,782371,523533,-258838,9585,0.757,67.7,-22805.110132158592,46126.25550660793,68931.36563876653,7.264,-0.004000000000000448,-258838,0,0.10139780065289805
SF10034,Andhra Pradesh,Guntur,Maize,Kharif,9.8,849.0,26.4,88.0,8.2,6.03,35.5,154.3,49.1,129.8,Sprinkler,220.2,4.34,0.72,3.65,35.77,21914,782502,783864,1362,5884,6.079,52.1,138.97959183673467,79986.12244897959,79847.14285714286,35.77,0.0,1362,0,0.1841487663286876
SF10035,Madhya Pradesh,Ludhiana,Wheat,Rabi,11.57,427.5,24.0,59.3,6.7,6.71,28.5,157.3,71.5,84.3,Sprinkler,186.8,1.13,0.86,3.83,44.31,26126,648827,1157643,508816,5400,8.206,61.4,43977.1823681936,100055.57476231633,56078.39239412273,44.3131,-0.003099999999996328,508816,0,0.18720503291978488
SF10036,Madhya Pradesh,Indore,Cotton,Zaid,7.05,179.4,34.1,55.5,8.7,7.0,14.8,94.3,66.8,101.3,Flood,231.5,7.26,0.96,0.75,5.29,66996,511293,354409,-156884,5944,0.89,29.0,-22253.04964539007,50270.78014184397,72523.82978723405,5.2875,0.002500000000000391,-156884,0,0.22215412658130507
SF10037,Tamil Nadu,Nalgonda,Cotton,Rabi,3.11,429.3,23.6,60.1,7.9,6.96,20.7,40.0,73.9,114.2,Drip,229.0,6.96,0.68,1.71,5.32,52396,243775,278747,34972,1780,2.989,33.0,11245.016077170418,89629.26045016077,78384.24437299036,5.318099999999999,0.001900000000000901,34972,0,0.22813584275072507
SF10038,Andhra Pradesh,Ludhiana,Cotton,Kharif,2.79,820.1,26.3,74.6,7.5,7.62,31.9,123.2,91.7,80.6,Flood,153.2,5.91,0.68,0.7,1.95,66405,175756,129490,-46266,3058,0.638,52.5,-16582.795698924732,46412.18637992832,62994.98207885305,1.9529999999999998,-0.0029999999999998916,-46266,0,0.1563708413900873
SF10039,Telangana,Warangal,Wheat,Kharif,4.69,657.7,27.1,64.9,6.2,7.85,31.9,87.6,87.5,81.5,Drip,218.9,4.78,0.92,0.98,4.6,25408,293568,116877,-176691,2392,1.923,50.0,-37673.987206823025,24920.469083155647,62594.456289978676,4.5962000000000005,0.0037999999999991374,-176691,0,0.16246681741674712
SF10040,Tamil Nadu,Ludhiana,Maize,Kharif,6.12,936.0,31.8,56.3,7.1,7.03,30.3,91.9,48.0,103.6,Rainfed,46.3,8.07,0.79,3.24,19.83,24731,321710,490416,168706,2144,9.249,46.7,27566.339869281044,80133.33333333333,52566.993464052284,19.8288,0.0011999999999972033,168706,0,0.2169722776587202
SF10041,Karnataka,Indore,Pulses,Kharif,12.31,768.4,29.0,67.0,6.1,8.22,26.7,69.5,49.1,98.6,Flood,214.2,7.11,0.73,0.3,3.69,95238,791517,351428,-440089,6153,0.6,54.7,-35750.528025995125,28548.17221770918,64298.700243704305,3.693,-0.0030000000000001137,-440089,0,0.1303547314566061
SF10042,Maharashtra,Erode,Wheat,Zaid,13.35,156.6,30.8,51.7,9.9,6.34,19.5,135.7,75.0,115.5,Sprinkler,158.2,5.76,0.77,1.69,22.56,22869,897488,515925,-381563,7377,3.058,17.1,-28581.498127340823,38646.06741573034,67227.56554307116,22.5615,-0.0015000000000000568,-381563,0,0.2562696485129122
SF10043,Karnataka,Krishna,Rice,Kharif,9.47,639.2,22.6,74.9,4.9,5.73,43.6,66.1,54.9,125.5,Rainfed,313.4,4.78,0.94,0.9,8.52,25346,744619,215948,-528671,7926,1.075,52.0,-55825.87117212249,22803.379091869057,78629.25026399155,8.523000000000001,-0.00300000000000189,-528671,0,0.13724568665126796
SF10044,Tamil Nadu,Erode,Wheat,Rabi,7.56,460.1,24.0,58.7,6.7,6.6,26.4,96.2,42.9,139.3,Sprinkler,241.9,5.34,0.69,2.6,19.66,24887,550176,489278,-60898,4545,4.326,44.7,-8055.291005291006,64719.31216931217,72774.60317460318,19.656,0.004000000000001336,-60898,0,0.19520084842951793
SF10045,Madhya Pradesh,Krishna,Wheat,Kharif,14.23,853.7,28.2,77.6,6.9,7.04,31.8,109.5,61.7,148.7,Drip,163.7,4.26,0.85,3.35,47.67,23547,980255,1122485,142230,5966,7.99,55.4,9995.080815179199,78881.58819395643,68886.50737877723,47.670500000000004,-0.0005000000000023874,142230,0,0.18613572075005935
SF10046,Telangana,Erode,Wheat,Kharif,2.14,485.7,28.0,80.1,7.2,8.08,34.7,111.0,56.6,74.9,Drip,146.2,4.25,0.95,0.32,0.68,25224,116463,17152,-99311,791,0.86,49.4,-46407.00934579439,8014.953271028037,54421.96261682243,0.6848000000000001,-0.0048000000000000265,-99311,0,0.16289343169640133
SF10047,Andhra Pradesh,Nalgonda,Groundnut,Kharif,5.6,728.5,27.0,76.7,6.9,6.36,27.4,92.2,72.7,80.9,Sprinkler,194.0,4.7,0.71,2.63,14.73,53568,337133,789057,451924,3052,4.826,63.2,80700.71428571429,140903.0357142857,60202.321428571435,14.727999999999998,0.0020000000000024443,451924,0,0.16561715527445875
SF10048,Punjab,Ludhiana,Sugarcane,Zaid,7.68,90.0,31.9,52.7,9.8,6.51,18.3,164.0,59.6,54.9,Sprinkler,136.9,8.04,0.76,36.69,281.78,3682,480826,1037514,556688,13263,21.246,30.0,72485.41666666667,135092.96875,62607.552083333336,281.77919999999995,0.0008000000000265572,556688,0,0.4051451062993981
SF10049,Andhra Pradesh,Erode,Chilli,Zaid,5.52,91.3,34.1,63.0,7.2,5.55,20.9,124.8,75.2,130.8,Rainfed,207.3,4.96,0.87,0.3,1.66,102697,376564,170477,-206087,1257,1.321,43.9,-37334.60144927537,30883.514492753624,68218.11594202899,1.656,0.0040000000000000036,-206087,0,0.17570332340280934
SF10050,Madhya Pradesh,Erode,Rice,Rabi,8.8,792.2,21.5,51.4,8.0,7.8,21.8,104.1,61.9,82.3,Flood,223.7,6.7,0.7,0.76,6.69,19703,741670,131813,-609857,15881,0.421,53.6,-69301.93181818181,14978.749999999998,84280.68181818181,6.688000000000001,0.0019999999999997797,-609857,0,0.12629632457630444
SF10051,Telangana,Warangal,Rice,Zaid,9.82,227.2,29.5,63.5,7.6,6.81,17.8,122.5,54.9,97.0,Flood,162.7,0.62,0.78,2.87,28.18,21316,534995,600685,65690,16682,1.689,49.4,6689.409368635438,61169.55193482688,54480.14256619145,28.183400000000002,-0.003400000000002734,65690,0,0.1794873747474821
SF10052,Andhra Pradesh,Rajkot,Pulses,Rabi,8.61,80.0,24.8,60.9,7.5,5.43,28.0,107.1,46.4,137.6,Sprinkler,178.1,4.92,1.0,0.3,2.58,71065,492155,183348,-308807,3106,0.831,40.2,-35866.08594657375,21294.773519163766,57160.85946573752,2.5829999999999997,-0.0029999999999996696,-308807,0,0.1804037668046503
SF10053,Gujarat,Indore,Rice,Zaid,11.52,206.2,34.3,50.3,10.0,7.01,32.7,106.7,50.4,98.1,Flood,112.7,6.15,0.87,1.69,19.47,19275,674473,375284,-299189,20211,0.963,18.9,-25971.267361111113,32576.736111111113,58548.003472222226,19.468799999999998,0.001200000000000756,-299189,0,0.24817046011924426
SF10054,Telangana,Nalgonda,Maize,Kharif,3.18,591.2,28.1,63.9,6.8,5.66,30.8,126.9,27.6,137.7,Flood,289.5,5.4,0.77,1.11,3.53,17359,254223,61277,-192946,2327,1.517,39.8,-60674.842767295595,19269.49685534591,79944.3396226415,3.5298000000000003,0.00019999999999953388,-192946,0,0.19114988833645985
SF10055,Andhra Pradesh,Raichur,Rice,Rabi,7.08,460.0,22.8,57.4,8.5,7.14,19.2,125.2,30.8,126.7,Flood,115.3,6.38,0.94,2.92,20.67,24229,591425,500813,-90612,16012,1.291,29.2,-12798.305084745763,70736.29943502825,83534.60451977402,20.6736,-0.0035999999999987153,-90612,0,0.2312687945959295
SF10056,Karnataka,Warangal,Groundnut,Rabi,11.7,167.3,26.2,62.4,6.8,6.3,21.8,122.8,27.7,135.0,Drip,240.5,5.39,0.94,1.74,19.42,50837,780159,987255,207096,4665,4.163,39.4,17700.51282051282,84380.76923076923,66680.25641025642,20.357999999999997,-0.9379999999999953,207096,0,0.22084507498089745
SF10057,Telangana,Nashik,Pulses,Rabi,6.91,489.4,24.0,67.2,9.1,6.46,31.0,121.2,55.7,107.5,Drip,212.0,6.15,0.87,1.49,10.3,70845,462116,729704,267588,2165,4.758,34.5,38724.74674384949,105601.15774240231,66876.41099855282,10.2959,0.004100000000001103,267588,0,0.23951404146355978
SF10058,Telangana,Nashik,Maize,Zaid,7.06,336.9,29.4,62.0,9.0,7.53,11.3,152.4,63.1,106.1,Rainfed,116.8,4.01,0.86,1.16,8.19,22633,430059,185364,-244695,2031,4.032,33.3,-34659.34844192635,26255.524079320116,60914.87252124646,8.189599999999999,0.0004000000000008441,-244695,0,0.2161226229044447
SF10059,Madhya Pradesh,Raichur,Maize,Zaid,6.62,278.1,31.1,59.3,8.3,7.55,19.1,129.3,82.0,47.0,Flood,168.0,2.1,0.89,1.34,8.87,18651,455124,165434,-289690,5550,1.598,47.6,-43759.818731117826,24990.030211480364,68749.84894259818,8.870800000000001,-0.0008000000000016882,-289690,0,0.16422223466334582
SF10060,Gujarat,Erode,Groundnut,Kharif,10.0,664.7,25.1,72.3,6.8,6.49,32.8,118.6,31.3,69.5,Flood,139.1,5.53,0.76,2.07,20.7,59223,619756,1225916,606160,7146,2.897,42.2,60616.0,122591.6,61975.6,20.7,0.0,606160,0,0.22794157070828533
SF10061,Karnataka,Guntur,Groundnut,Kharif,14.38,1002.0,27.9,63.0,5.5,6.62,30.2,127.4,61.8,86.2,Rainfed,194.4,5.01,0.97,1.73,24.88,53834,972766,1339390,366624,4408,5.644,66.6,25495.41029207232,93142.55910987483,67647.1488178025,24.8774,0.002599999999997493,366624,0,0.15185330632981675
SF10062,Karnataka,Ludhiana,Cotton,Rabi,14.23,404.4,19.4,55.8,7.9,6.99,22.6,182.0,52.9,80.5,Drip,127.2,1.21,0.9,1.8,25.61,70385,815920,1802560,986640,9798,2.614,50.7,69335.20730850316,126673.22557976107,57338.018271257904,25.614,-0.004000000000001336,986640,0,0.2187892202066849
SF10063,Andhra Pradesh,Warangal,Cotton,Zaid,5.46,148.5,31.2,59.9,7.7,6.31,21.5,81.9,56.0,124.3,Flood,157.7,3.34,0.7,0.91,4.97,66056,309945,328298,18353,4831,1.029,31.8,3361.355311355311,60127.83882783883,56766.48351648352,4.9686,0.0013999999999994017,18353,0,0.22280884589649508
SF10064,Tamil Nadu,Warangal,Rice,Kharif,3.95,1028.8,24.2,69.2,6.2,5.95,29.4,105.4,48.3,123.3,Flood,136.3,4.4,0.92,1.62,6.4,23591,258728,150982,-107746,8230,0.778,46.8,-27277.468354430377,38223.29113924051,65500.759493670885,6.399000000000001,0.0009999999999994458,-107746,0,0.1732037070491282
SF10065,Telangana,Indore,Pulses,Kharif,14.43,1012.7,30.2,65.2,7.9,6.71,23.2,102.9,66.6,93.5,Rainfed,276.7,5.63,0.97,0.99,14.29,86381,980375,1234384,254009,2290,6.24,53.6,17602.8413028413,85542.89674289674,67940.05544005544,14.2857,0.00429999999999886,254009,0,0.18538306348763045
SF10066,Maharashtra,Rajkot,Groundnut,Rabi,7.49,234.8,20.5,49.1,8.4,6.55,30.3,84.7,72.9,72.2,Sprinkler,107.5,3.99,0.82,1.42,10.64,60410,506733,642762,136029,3460,3.075,59.9,18161.415220293726,85816.02136181576,67654.60614152203,10.6358,0.00420000000000087,136029,0,0.1522433475198565
SF10067,Tamil Nadu,Rajkot,Wheat,Rabi,7.25,410.0,23.4,61.1,9.4,7.08,28.3,199.3,60.4,66.8,Flood,198.1,7.33,0.8,2.66,19.28,20402,542011,393351,-148660,4731,4.075,41.4,-20504.827586206895,54255.31034482759,74760.13793103448,19.285,-0.004999999999999005,-148660,0,0.2003047856448536
SF10068,Maharashtra,Ludhiana,Pulses,Rabi,5.28,498.8,26.9,51.3,7.5,6.21,29.0,152.6,48.9,95.2,Drip,114.7,5.33,0.69,1.37,7.23,71305,292198,515535,223337,1540,4.695,44.1,42298.67424242424,97639.20454545454,55340.530303030304,7.233600000000001,-0.0036000000000004917,223337,0,0.20835207811282497
SF10069,Andhra Pradesh,Raichur,Rice,Kharif,12.69,851.6,27.7,81.1,6.0,7.6,31.2,124.5,74.6,136.5,Flood,165.3,7.52,0.8,1.59,20.18,20502,865223,413730,-451493,22011,0.917,48.8,-35578.64460204886,32602.836879432627,68181.48148148149,20.1771,0.0029000000000003467,-451493,0,0.15158718192587733
SF10070,Karnataka,Warangal,Maize,Kharif,2.82,960.7,27.6,68.2,8.9,7.29,35.7,111.9,65.9,104.9,Flood,139.8,2.74,0.66,2.73,7.7,23906,171757,184076,12319,2056,3.745,59.3,4368.439716312057,65275.17730496454,60906.73758865248,7.6986,0.00140000000000029,12319,0,0.1536067694400523
SF10071,Maharashtra,Krishna,Cotton,Rabi,14.72,338.5,21.2,68.5,7.7,6.06,25.7,132.5,15.0,148.5,Drip,145.7,6.76,0.84,1.0,14.72,61717,960387,908474,-51913,9888,1.489,35.8,-3526.698369565217,61716.98369565217,65243.68206521739,14.72,0.0,-51913,0,0.2092814085112098
SF10072,Madhya Pradesh,Krishna,Maize,Rabi,1.48,342.0,19.3,62.5,8.2,6.73,31.4,112.7,75.1,112.8,Sprinkler,149.1,6.66,0.7,3.61,5.34,19548,105743,104386,-1357,916,5.83,29.3,-916.8918918918919,70531.08108108108,71447.97297297297,5.3427999999999995,-0.0027999999999996916,-1357,0,0.25107980858623635
SF10073,Tamil Nadu,Krishna,Cotton,Kharif,7.37,765.5,26.4,89.0,6.4,7.28,30.3,119.2,63.4,140.7,Sprinkler,110.1,7.05,0.73,1.38,10.17,71337,478922,725497,246575,6169,1.649,55.2,33456.58073270014,98439.21302578019,64982.63229308005,10.170599999999999,-0.0005999999999986017,246575,0,0.16682585322862054
SF10074,Gujarat,Raichur,Maize,Rabi,1.41,80.0,26.2,64.6,7.6,6.76,30.1,85.8,38.5,128.9,Drip,121.9,6.85,0.95,3.26,4.6,19255,84476,88573,4097,777,5.92,26.7,2905.6737588652486,62817.73049645391,59912.05673758865,4.5966,0.0034000000000000696,4097,0,0.25849858619186294
SF10075,Madhya Pradesh,Nalgonda,Wheat,Kharif,13.3,935.5,28.0,55.6,6.8,7.21,27.3,131.9,48.9,93.9,Drip,149.7,0.64,0.72,2.77,36.84,22812,657906,840394,182488,5715,6.446,59.0,13720.902255639097,63187.51879699248,49466.61654135338,36.841,-0.0009999999999976694,182488,0,0.17100579851738246
SF10076,Maharashtra,Guntur,Sugarcane,Kharif,10.64,869.0,33.2,82.3,5.6,6.42,37.4,148.0,104.4,90.2,Flood,212.2,5.8,0.79,62.58,665.85,3651,755288,2431018,1675730,23608,28.204,58.8,157493.42105263157,228479.13533834586,70985.71428571428,665.8512000000001,-0.0012000000000398359,1675730,0,0.4573082351906516
SF10077,Gujarat,Erode,Rice,Kharif,9.53,895.9,29.3,69.4,6.7,6.55,33.2,97.8,56.4,132.2,Flood,194.7,4.54,0.82,3.51,33.45,24003,693617,802900,109283,15015,2.228,46.1,11467.261280167892,84249.73767051417,72782.47639034627,33.4503,-0.0002999999999957481,109283,0,0.19462542847712294
